Pair ID,Drug_A,Drug_B,MW_A,LogP_A,HBD_A,HBA_A,TPSA_A,MW_B,LogP_B,HBD_B,HBA_B,TPSA_B,Avg_MW,Avg_LogP,Sum_HBD,Sum_HBA,Avg_TPSA,raw_cluster,Cluster,Route_Prediction,MBA_Strategy
18,Methotrexate,Epirubicin,45.44,-1.85,5,12,211.0,543.5,-0.5,6,12,206.0,294.47,-1.175,11,24,208.5,2,3,Route: SC / IM Injection,Target: Long-acting release. MBA: Lifecycle management to extend patent life.
19,Methotrexate,Megestrol acetate,45.44,-1.85,5,12,211.0,384.5,3.2,0,4,60.4,214.97,0.675,5,16,135.7,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
20,Methotrexate,Toremifene,45.44,-1.85,5,12,211.0,406.0,6.8,0,2,12.5,225.72,2.475,5,14,111.75,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
21,Methotrexate,Fluoxymesterone,45.44,-1.85,5,12,211.0,336.4,2.38,2,4,57.5,190.92,0.2649999999999999,7,16,134.25,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
22,Methotrexate,Thiotepa,45.44,-1.85,5,12,211.0,189.22,0.53,4,3,41.1,117.33,-0.66,9,15,126.05,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
23,Methotrexate,methyltestosterone,45.44,-1.85,5,12,211.0,302.5,3.36,1,2,37.3,173.97,0.7549999999999999,6,14,124.15,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
24,Methotrexate,Pamidronate,45.44,-1.85,5,12,211.0,235.07,-4.7,6,8,161.0,140.255,-3.275,11,20,186.0,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
25,Cyclophosphamide,Vinblastine,261.08,0.63,1,4,41.6,811.0,3.7,3,12,154.0,536.04,2.165,4,16,97.8,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
26,Cyclophosphamide,5-FU,261.08,0.63,1,4,41.6,130.08,-89.0,2,3,58.2,195.58,-44.185,3,7,49.90000000000001,4,0,Route: Specialized IV/Salts,Target: Rapid absorption. MBA: Focus on Acute Care/Hospital setting.
27,Cyclophosphamide,Doxorubicin hydrochloride,261.08,0.63,1,4,41.6,543.5,1.27,6,12,206.0,402.29,0.95,7,16,123.8,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
28,Cyclophosphamide,Goserelin,261.08,0.63,1,4,41.6,1269.4,-2.0,17,16,496.0,765.24,-0.685,18,20,268.8,1,4,Route: Complex Chemotherapy IV,Target: Specialized Oncology Centers. MBA: High barrier to entry for generics.
29,Cyclophosphamide,Paclitaxel,261.08,0.63,1,4,41.6,853.9,3.0,4,14,221.0,557.49,1.815,5,18,131.3,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
30,Cyclophosphamide,Anastrozole,261.08,0.63,1,4,41.6,293.4,1.58,0,4,78.3,277.24,1.105,1,8,59.95,3,1,Route: Oral (Pill/Capsule),Target: Home-based care. MBA: High valuation for patient convenience (FDC potential).
31,Cyclophosphamide,Gemcitabine,261.08,0.63,1,4,41.6,1269.4,-2.0,17,16,496.0,765.24,-0.685,18,20,268.8,1,4,Route: Complex Chemotherapy IV,Target: Specialized Oncology Centers. MBA: High barrier to entry for generics.
32,Cyclophosphamide,Docetaxel,261.08,0.63,1,4,41.6,807.9,2.4,5,14,224.0,534.49,1.515,6,18,132.8,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
33,Cyclophosphamide,Letrozole,261.08,0.63,1,4,41.6,285.3,2.5,0,4,78.3,273.19,1.565,1,8,59.95,3,1,Route: Oral (Pill/Capsule),Target: Home-based care. MBA: High valuation for patient convenience (FDC potential).
34,Cyclophosphamide,Capecitabine,261.08,0.63,1,4,41.6,359.35,0.4,7,7,121.0,310.215,0.515,8,11,81.3,3,1,Route: Oral (Pill/Capsule),Target: Home-based care. MBA: High valuation for patient convenience (FDC potential).
35,Cyclophosphamide,Exemestane,261.08,0.63,1,4,41.6,296.4,3.7,0,2,34.1,278.74,2.165,1,6,37.85,3,1,Route: Oral (Pill/Capsule),Target: Home-based care. MBA: High valuation for patient convenience (FDC potential).
36,Cyclophosphamide,Fulvestrant,261.08,0.63,1,4,41.6,606.8,8.9,2,9,76.7,433.9399999999999,4.765000000000001,3,13,59.15000000000001,3,1,Route: Oral (Pill/Capsule),Target: Home-based care. MBA: High valuation for patient convenience (FDC potential).
37,Cyclophosphamide,Lapatinib,261.08,0.63,1,4,41.6,581.1,5.4,2,9,115.0,421.09,3.015,3,13,78.3,3,1,Route: Oral (Pill/Capsule),Target: Home-based care. MBA: High valuation for patient convenience (FDC potential).
38,Cyclophosphamide,Palbociclib,261.08,0.63,1,4,41.6,447.5,0.99,2,8,103.0,354.29,0.81,3,12,72.3,3,1,Route: Oral (Pill/Capsule),Target: Home-based care. MBA: High valuation for patient convenience (FDC potential).
39,Cyclophosphamide,Tucatinib,261.08,0.63,1,4,41.6,480.5,3.62,2,8,111.0,370.79,2.125,3,12,76.3,3,1,Route: Oral (Pill/Capsule),Target: Home-based care. MBA: High valuation for patient convenience (FDC potential).
40,Cyclophosphamide,Epirubicin,261.08,0.63,1,4,41.6,543.5,-0.5,6,12,206.0,402.29,0.065,7,16,123.8,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
41,Cyclophosphamide,Megestrol acetate,261.08,0.63,1,4,41.6,384.5,3.2,0,4,60.4,322.79,1.915,1,8,51.0,3,1,Route: Oral (Pill/Capsule),Target: Home-based care. MBA: High valuation for patient convenience (FDC potential).
42,Cyclophosphamide,Toremifene,261.08,0.63,1,4,41.6,406.0,6.8,0,2,12.5,333.54,3.715,1,6,27.05,3,1,Route: Oral (Pill/Capsule),Target: Home-based care. MBA: High valuation for patient convenience (FDC potential).
43,Cyclophosphamide,Fluoxymesterone,261.08,0.63,1,4,41.6,336.4,2.38,2,4,57.5,298.74,1.505,3,8,49.55,3,1,Route: Oral (Pill/Capsule),Target: Home-based care. MBA: High valuation for patient convenience (FDC potential).
44,Cyclophosphamide,Thiotepa,261.08,0.63,1,4,41.6,189.22,0.53,4,3,41.1,225.15,0.5800000000000001,5,7,41.35,3,1,Route: Oral (Pill/Capsule),Target: Home-based care. MBA: High valuation for patient convenience (FDC potential).
45,Cyclophosphamide,methyltestosterone,261.08,0.63,1,4,41.6,302.5,3.36,1,2,37.3,281.79,1.995,2,6,39.45,3,1,Route: Oral (Pill/Capsule),Target: Home-based care. MBA: High valuation for patient convenience (FDC potential).
46,Cyclophosphamide,Pamidronate,261.08,0.63,1,4,41.6,235.07,-4.7,6,8,161.0,248.075,-2.035,7,12,101.3,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
47,Vinblastine,5-FU,811.0,3.7,3,12,154.0,130.08,-89.0,2,3,58.2,470.54,-42.65,5,15,106.1,4,0,Route: Specialized IV/Salts,Target: Rapid absorption. MBA: Focus on Acute Care/Hospital setting.
48,Vinblastine,Doxorubicin hydrochloride,811.0,3.7,3,12,154.0,543.5,1.27,6,12,206.0,677.25,2.485,9,24,180.0,2,3,Route: SC / IM Injection,Target: Long-acting release. MBA: Lifecycle management to extend patent life.
49,Vinblastine,Goserelin,811.0,3.7,3,12,154.0,1269.4,-2.0,17,16,496.0,1040.2,0.8500000000000001,20,28,325.0,1,4,Route: Complex Chemotherapy IV,Target: Specialized Oncology Centers. MBA: High barrier to entry for generics.
50,Vinblastine,Paclitaxel,811.0,3.7,3,12,154.0,853.9,3.0,4,14,221.0,832.45,3.35,7,26,187.5,2,3,Route: SC / IM Injection,Target: Long-acting release. MBA: Lifecycle management to extend patent life.
51,Vinblastine,Anastrozole,811.0,3.7,3,12,154.0,293.4,1.58,0,4,78.3,552.2,2.64,3,16,116.15,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
52,Vinblastine,Gemcitabine,811.0,3.7,3,12,154.0,1269.4,-2.0,17,16,496.0,1040.2,0.8500000000000001,20,28,325.0,1,4,Route: Complex Chemotherapy IV,Target: Specialized Oncology Centers. MBA: High barrier to entry for generics.
53,Vinblastine,Docetaxel,811.0,3.7,3,12,154.0,807.9,2.4,5,14,224.0,809.45,3.05,8,26,189.0,2,3,Route: SC / IM Injection,Target: Long-acting release. MBA: Lifecycle management to extend patent life.
54,Vinblastine,Letrozole,811.0,3.7,3,12,154.0,285.3,2.5,0,4,78.3,548.15,3.1,3,16,116.15,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
55,Vinblastine,Capecitabine,811.0,3.7,3,12,154.0,359.35,0.4,7,7,121.0,585.175,2.05,10,19,137.5,2,3,Route: SC / IM Injection,Target: Long-acting release. MBA: Lifecycle management to extend patent life.
56,Vinblastine,Exemestane,811.0,3.7,3,12,154.0,296.4,3.7,0,2,34.1,553.7,3.7,3,14,94.05,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
57,Vinblastine,Fulvestrant,811.0,3.7,3,12,154.0,606.8,8.9,2,9,76.7,708.9,6.300000000000001,5,21,115.35,2,3,Route: SC / IM Injection,Target: Long-acting release. MBA: Lifecycle management to extend patent life.
58,Vinblastine,Lapatinib,811.0,3.7,3,12,154.0,581.1,5.4,2,9,115.0,696.05,4.550000000000001,5,21,134.5,2,3,Route: SC / IM Injection,Target: Long-acting release. MBA: Lifecycle management to extend patent life.
59,Vinblastine,Palbociclib,811.0,3.7,3,12,154.0,447.5,0.99,2,8,103.0,629.25,2.345,5,20,128.5,2,3,Route: SC / IM Injection,Target: Long-acting release. MBA: Lifecycle management to extend patent life.
60,Vinblastine,Tucatinib,811.0,3.7,3,12,154.0,480.5,3.62,2,8,111.0,645.75,3.66,5,20,132.5,2,3,Route: SC / IM Injection,Target: Long-acting release. MBA: Lifecycle management to extend patent life.
61,Vinblastine,Epirubicin,811.0,3.7,3,12,154.0,543.5,-0.5,6,12,206.0,677.25,1.6,9,24,180.0,2,3,Route: SC / IM Injection,Target: Long-acting release. MBA: Lifecycle management to extend patent life.
62,Vinblastine,Megestrol acetate,811.0,3.7,3,12,154.0,384.5,3.2,0,4,60.4,597.75,3.45,3,16,107.2,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
63,Vinblastine,Toremifene,811.0,3.7,3,12,154.0,406.0,6.8,0,2,12.5,608.5,5.25,3,14,83.25,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
64,Vinblastine,Fluoxymesterone,811.0,3.7,3,12,154.0,336.4,2.38,2,4,57.5,573.7,3.04,5,16,105.75,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
65,Vinblastine,Thiotepa,811.0,3.7,3,12,154.0,189.22,0.53,4,3,41.1,500.11,2.115,7,15,97.55,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
66,Vinblastine,methyltestosterone,811.0,3.7,3,12,154.0,302.5,3.36,1,2,37.3,556.75,3.53,4,14,95.65,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
67,Vinblastine,Pamidronate,811.0,3.7,3,12,154.0,235.07,-4.7,6,8,161.0,523.035,-0.5,9,20,157.5,2,3,Route: SC / IM Injection,Target: Long-acting release. MBA: Lifecycle management to extend patent life.
68,5-FU,Doxorubicin hydrochloride,130.08,-89.0,2,3,58.2,543.5,1.27,6,12,206.0,336.79,-43.865,8,15,132.1,4,0,Route: Specialized IV/Salts,Target: Rapid absorption. MBA: Focus on Acute Care/Hospital setting.
70,5-FU,Goserelin,130.08,-89.0,2,3,58.2,1269.4,-2.0,17,16,496.0,699.74,-45.5,19,19,277.1,1,4,Route: Complex Chemotherapy IV,Target: Specialized Oncology Centers. MBA: High barrier to entry for generics.
71,5-FU,Paclitaxel,130.08,-89.0,2,3,58.2,853.9,3.0,4,14,221.0,491.99,-43.0,6,17,139.6,4,0,Route: Specialized IV/Salts,Target: Rapid absorption. MBA: Focus on Acute Care/Hospital setting.
72,5-FU,Anastrozole,130.08,-89.0,2,3,58.2,293.4,1.58,0,4,78.3,211.74,-43.71,2,7,68.25,4,0,Route: Specialized IV/Salts,Target: Rapid absorption. MBA: Focus on Acute Care/Hospital setting.
73,5-FU,Gemcitabine,130.08,-89.0,2,3,58.2,1269.4,-2.0,17,16,496.0,699.74,-45.5,19,19,277.1,1,4,Route: Complex Chemotherapy IV,Target: Specialized Oncology Centers. MBA: High barrier to entry for generics.
74,5-FU,Docetaxel,130.08,-89.0,2,3,58.2,807.9,2.4,5,14,224.0,468.99,-43.3,7,17,141.1,4,0,Route: Specialized IV/Salts,Target: Rapid absorption. MBA: Focus on Acute Care/Hospital setting.
75,5-FU,Letrozole,130.08,-89.0,2,3,58.2,285.3,2.5,0,4,78.3,207.69,-43.25,2,7,68.25,4,0,Route: Specialized IV/Salts,Target: Rapid absorption. MBA: Focus on Acute Care/Hospital setting.
76,5-FU,Capecitabine,130.08,-89.0,2,3,58.2,359.35,0.4,7,7,121.0,244.715,-44.3,9,10,89.6,4,0,Route: Specialized IV/Salts,Target: Rapid absorption. MBA: Focus on Acute Care/Hospital setting.
77,5-FU,Exemestane,130.08,-89.0,2,3,58.2,296.4,3.7,0,2,34.1,213.24,-42.65,2,5,46.15000000000001,4,0,Route: Specialized IV/Salts,Target: Rapid absorption. MBA: Focus on Acute Care/Hospital setting.
78,5-FU,Fulvestrant,130.08,-89.0,2,3,58.2,606.8,8.9,2,9,76.7,368.44,-40.05,4,12,67.45,4,0,Route: Specialized IV/Salts,Target: Rapid absorption. MBA: Focus on Acute Care/Hospital setting.
79,5-FU,Lapatinib,130.08,-89.0,2,3,58.2,581.1,5.4,2,9,115.0,355.59,-41.8,4,12,86.6,4,0,Route: Specialized IV/Salts,Target: Rapid absorption. MBA: Focus on Acute Care/Hospital setting.
80,5-FU,Palbociclib,130.08,-89.0,2,3,58.2,447.5,0.99,2,8,103.0,288.79,-44.005,4,11,80.6,4,0,Route: Specialized IV/Salts,Target: Rapid absorption. MBA: Focus on Acute Care/Hospital setting.
81,5-FU,Tucatinib,130.08,-89.0,2,3,58.2,480.5,3.62,2,8,111.0,305.29,-42.69,4,11,84.6,4,0,Route: Specialized IV/Salts,Target: Rapid absorption. MBA: Focus on Acute Care/Hospital setting.
82,5-FU,Epirubicin,130.08,-89.0,2,3,58.2,543.5,-0.5,6,12,206.0,336.79,-44.75,8,15,132.1,4,0,Route: Specialized IV/Salts,Target: Rapid absorption. MBA: Focus on Acute Care/Hospital setting.
83,5-FU,Megestrol acetate,130.08,-89.0,2,3,58.2,384.5,3.2,0,4,60.4,257.29,-42.9,2,7,59.3,4,0,Route: Specialized IV/Salts,Target: Rapid absorption. MBA: Focus on Acute Care/Hospital setting.
84,5-FU,Toremifene,130.08,-89.0,2,3,58.2,406.0,6.8,0,2,12.5,268.04,-41.1,2,5,35.35,4,0,Route: Specialized IV/Salts,Target: Rapid absorption. MBA: Focus on Acute Care/Hospital setting.
85,5-FU,Fluoxymesterone,130.08,-89.0,2,3,58.2,336.4,2.38,2,4,57.5,233.24,-43.31,4,7,57.85,4,0,Route: Specialized IV/Salts,Target: Rapid absorption. MBA: Focus on Acute Care/Hospital setting.
86,5-FU,Thiotepa,130.08,-89.0,2,3,58.2,189.22,0.53,4,3,41.1,159.65,-44.235,6,6,49.65000000000001,4,0,Route: Specialized IV/Salts,Target: Rapid absorption. MBA: Focus on Acute Care/Hospital setting.
87,5-FU,methyltestosterone,130.08,-89.0,2,3,58.2,302.5,3.36,1,2,37.3,216.29,-42.82,3,5,47.75,4,0,Route: Specialized IV/Salts,Target: Rapid absorption. MBA: Focus on Acute Care/Hospital setting.
88,5-FU,Pamidronate,130.08,-89.0,2,3,58.2,235.07,-4.7,6,8,161.0,182.575,-46.85,8,11,109.6,4,0,Route: Specialized IV/Salts,Target: Rapid absorption. MBA: Focus on Acute Care/Hospital setting.
89,Doxorubicin hydrochloride,Goserelin,543.5,1.27,6,12,206.0,1269.4,-2.0,17,16,496.0,906.45,-0.365,23,28,351.0,1,4,Route: Complex Chemotherapy IV,Target: Specialized Oncology Centers. MBA: High barrier to entry for generics.
90,Doxorubicin hydrochloride,Paclitaxel,543.5,1.27,6,12,206.0,853.9,3.0,4,14,221.0,698.7,2.135,10,26,213.5,2,3,Route: SC / IM Injection,Target: Long-acting release. MBA: Lifecycle management to extend patent life.
91,Doxorubicin hydrochloride,Anastrozole,543.5,1.27,6,12,206.0,293.4,1.58,0,4,78.3,418.45,1.425,6,16,142.15,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
92,Doxorubicin hydrochloride,Gemcitabine,543.5,1.27,6,12,206.0,1269.4,-2.0,17,16,496.0,906.45,-0.365,23,28,351.0,1,4,Route: Complex Chemotherapy IV,Target: Specialized Oncology Centers. MBA: High barrier to entry for generics.
93,Doxorubicin hydrochloride,Docetaxel,543.5,1.27,6,12,206.0,807.9,2.4,5,14,224.0,675.7,1.835,11,26,215.0,2,3,Route: SC / IM Injection,Target: Long-acting release. MBA: Lifecycle management to extend patent life.
94,Doxorubicin hydrochloride,Letrozole,543.5,1.27,6,12,206.0,285.3,2.5,0,4,78.3,414.4,1.885,6,16,142.15,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
95,Doxorubicin hydrochloride,Capecitabine,543.5,1.27,6,12,206.0,359.35,0.4,7,7,121.0,451.425,0.835,13,19,163.5,2,3,Route: SC / IM Injection,Target: Long-acting release. MBA: Lifecycle management to extend patent life.
96,Doxorubicin hydrochloride,Exemestane,543.5,1.27,6,12,206.0,296.4,3.7,0,2,34.1,419.95,2.485,6,14,120.05,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
97,Doxorubicin hydrochloride,Fulvestrant,543.5,1.27,6,12,206.0,606.8,8.9,2,9,76.7,575.15,5.085,8,21,141.35,2,3,Route: SC / IM Injection,Target: Long-acting release. MBA: Lifecycle management to extend patent life.
98,Doxorubicin hydrochloride,Lapatinib,543.5,1.27,6,12,206.0,581.1,5.4,2,9,115.0,562.3,3.335,8,21,160.5,2,3,Route: SC / IM Injection,Target: Long-acting release. MBA: Lifecycle management to extend patent life.
99,Doxorubicin hydrochloride,Palbociclib,543.5,1.27,6,12,206.0,447.5,0.99,2,8,103.0,495.5,1.13,8,20,154.5,2,3,Route: SC / IM Injection,Target: Long-acting release. MBA: Lifecycle management to extend patent life.
100,Doxorubicin hydrochloride,Tucatinib,543.5,1.27,6,12,206.0,480.5,3.62,2,8,111.0,512.0,2.445,8,20,158.5,2,3,Route: SC / IM Injection,Target: Long-acting release. MBA: Lifecycle management to extend patent life.
101,Doxorubicin hydrochloride,Epirubicin,543.5,1.27,6,12,206.0,543.5,-0.5,6,12,206.0,543.5,0.385,12,24,206.0,2,3,Route: SC / IM Injection,Target: Long-acting release. MBA: Lifecycle management to extend patent life.
102,Doxorubicin hydrochloride,Megestrol acetate,543.5,1.27,6,12,206.0,384.5,3.2,0,4,60.4,464.0,2.235,6,16,133.2,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
103,Doxorubicin hydrochloride,Toremifene,543.5,1.27,6,12,206.0,406.0,6.8,0,2,12.5,474.75,4.035,6,14,109.25,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
104,Doxorubicin hydrochloride,Fluoxymesterone,543.5,1.27,6,12,206.0,336.4,2.38,2,4,57.5,439.95,1.825,8,16,131.75,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
105,Doxorubicin hydrochloride,Thiotepa,543.5,1.27,6,12,206.0,189.22,0.53,4,3,41.1,366.36,0.9,10,15,123.55,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
106,Doxorubicin hydrochloride,methyltestosterone,543.5,1.27,6,12,206.0,302.5,3.36,1,2,37.3,423.0,2.315,7,14,121.65,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
107,Doxorubicin hydrochloride,Pamidronate,543.5,1.27,6,12,206.0,235.07,-4.7,6,8,161.0,389.285,-1.715,12,20,183.5,2,3,Route: SC / IM Injection,Target: Long-acting release. MBA: Lifecycle management to extend patent life.
108,Goserelin,Paclitaxel,1269.4,-2.0,17,16,496.0,853.9,3.0,4,14,221.0,1061.65,0.5,21,30,358.5,1,4,Route: Complex Chemotherapy IV,Target: Specialized Oncology Centers. MBA: High barrier to entry for generics.
109,Goserelin,Anastrozole,1269.4,-2.0,17,16,496.0,293.4,1.58,0,4,78.3,781.4000000000001,-0.21,17,20,287.15,1,4,Route: Complex Chemotherapy IV,Target: Specialized Oncology Centers. MBA: High barrier to entry for generics.
110,Goserelin,Gemcitabine,1269.4,-2.0,17,16,496.0,1269.4,-2.0,17,16,496.0,1269.4,-2.0,34,32,496.0,1,4,Route: Complex Chemotherapy IV,Target: Specialized Oncology Centers. MBA: High barrier to entry for generics.
111,Goserelin,Docetaxel,1269.4,-2.0,17,16,496.0,807.9,2.4,5,14,224.0,1038.65,0.2,22,30,360.0,1,4,Route: Complex Chemotherapy IV,Target: Specialized Oncology Centers. MBA: High barrier to entry for generics.
112,Goserelin,Letrozole,1269.4,-2.0,17,16,496.0,285.3,2.5,0,4,78.3,777.35,0.25,17,20,287.15,1,4,Route: Complex Chemotherapy IV,Target: Specialized Oncology Centers. MBA: High barrier to entry for generics.
113,Goserelin,Capecitabine,1269.4,-2.0,17,16,496.0,359.35,0.4,7,7,121.0,814.375,-0.8,24,23,308.5,1,4,Route: Complex Chemotherapy IV,Target: Specialized Oncology Centers. MBA: High barrier to entry for generics.
114,Goserelin,Exemestane,1269.4,-2.0,17,16,496.0,296.4,3.7,0,2,34.1,782.9000000000001,0.8500000000000001,17,18,265.05,1,4,Route: Complex Chemotherapy IV,Target: Specialized Oncology Centers. MBA: High barrier to entry for generics.
115,Goserelin,Fulvestrant,1269.4,-2.0,17,16,496.0,606.8,8.9,2,9,76.7,938.1,3.45,19,25,286.35,1,4,Route: Complex Chemotherapy IV,Target: Specialized Oncology Centers. MBA: High barrier to entry for generics.
116,Goserelin,Lapatinib,1269.4,-2.0,17,16,496.0,581.1,5.4,2,9,115.0,925.25,1.7,19,25,305.5,1,4,Route: Complex Chemotherapy IV,Target: Specialized Oncology Centers. MBA: High barrier to entry for generics.
117,Goserelin,Palbociclib,1269.4,-2.0,17,16,496.0,447.5,0.99,2,8,103.0,858.45,-0.505,19,24,299.5,1,4,Route: Complex Chemotherapy IV,Target: Specialized Oncology Centers. MBA: High barrier to entry for generics.
